epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1707.85,1.45253,1.41875,1.43106,0.45985,0.42161,0.40964,0.21747,1.84389,1.6619,1.77567,0.001387,0.001387,0.001387
89,1726.6,1.45101,1.41032,1.48654,0.33488,0.44117,0.40086,0.21789,1.8225,1.64956,1.76088,0.001288,0.001288,0.001288
90,1745.43,1.4929,1.41382,1.48556,0.34936,0.45225,0.39782,0.22146,1.80884,1.60763,1.74899,0.001189,0.001189,0.001189
91,1764.2,1.32695,1.34999,1.44709,0.39366,0.35263,0.40394,0.22465,1.77361,1.58699,1.73339,0.00109,0.00109,0.00109
92,1782.55,1.31806,1.2552,1.42897,0.40657,0.35263,0.40532,0.21674,1.81891,1.60699,1.75616,0.000991,0.000991,0.000991
93,1800.89,1.27993,1.23709,1.39559,0.38714,0.34872,0.3977,0.20824,1.87383,1.63427,1.78167,0.000892,0.000892,0.000892
94,1819.29,1.28344,1.18763,1.38315,0.40014,0.34559,0.39748,0.20014,1.90724,1.6657,1.79945,0.000793,0.000793,0.000793
95,1837.87,1.30929,1.23598,1.42993,0.40786,0.34872,0.39496,0.19741,1.9244,1.66172,1.80622,0.000694,0.000694,0.000694
96,1856.25,1.24896,1.16377,1.36229,0.4043,0.34872,0.39399,0.20032,1.94363,1.65355,1.81309,0.000595,0.000595,0.000595
97,1877.36,1.34074,1.24991,1.44088,0.91099,0.34872,0.38986,0.19497,1.94945,1.6523,1.81316,0.000496,0.000496,0.000496
98,1895.82,1.20425,1.17329,1.33819,0.9159,0.33505,0.38974,0.19562,1.93989,1.65967,1.80512,0.000397,0.000397,0.000397
99,1914.47,1.26568,1.21071,1.38662,0.65883,0.337,0.39064,0.20231,1.90517,1.63633,1.77833,0.000298,0.000298,0.000298
100,1935.5,1.25692,1.14824,1.36705,0.65392,0.337,0.39094,0.20375,1.88703,1.63267,1.76556,0.000199,0.000199,0.000199
