epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,3138.44,1.85771,1.84596,1.85936,0.68132,0.39568,0.46878,0.1606,2.29196,2.37034,2.51343,0.002179,0.002179,0.002179
81,3175.31,1.90121,1.8741,1.88311,0.53598,0.40995,0.44244,0.16544,2.25128,2.33699,2.46875,0.00208,0.00208,0.00208
82,3212.26,1.79532,1.90215,1.85912,0.73814,0.34591,0.43598,0.16702,2.30998,2.36073,2.51488,0.001981,0.001981,0.001981
83,3249,1.79239,1.77275,1.8436,0.74447,0.34393,0.41217,0.15619,2.27813,2.33038,2.51812,0.001882,0.001882,0.001882
84,3286.11,1.77879,1.85597,1.87706,0.71394,0.36243,0.3903,0.14987,2.23309,2.37745,2.48457,0.001783,0.001783,0.001783
85,3323.13,1.79858,1.84346,1.84778,0.66926,0.35053,0.35356,0.14308,2.20038,2.37353,2.44586,0.001684,0.001684,0.001684
86,3360.43,1.78834,1.81236,1.84983,0.68974,0.29315,0.34853,0.131,2.25618,2.32942,2.49557,0.001585,0.001585,0.001585
87,3397.2,1.80297,1.74244,1.8483,0.31004,0.56481,0.40112,0.13891,2.27413,2.34297,2.52146,0.001486,0.001486,0.001486
88,3434.1,1.80644,1.83331,1.89656,0.38683,0.50601,0.44814,0.14999,2.26819,2.32039,2.52812,0.001387,0.001387,0.001387
89,3470.8,1.76366,1.89085,1.8737,0.36955,0.5172,0.41025,0.14235,2.26821,2.33347,2.51997,0.001288,0.001288,0.001288
90,3507.51,1.86571,1.8582,1.94226,0.54486,0.5172,0.43001,0.15943,2.24128,2.27776,2.49056,0.001189,0.001189,0.001189
91,3544.3,1.83428,1.87483,2.04489,0.4473,0.48148,0.42228,0.16113,2.23726,2.29258,2.47094,0.00109,0.00109,0.00109
92,3581.4,1.8484,1.91247,2.0551,0.42463,0.49945,0.43317,0.16068,2.2846,2.35764,2.51268,0.000991,0.000991,0.000991
93,3617.83,1.83493,1.84146,1.9541,0.37417,0.5172,0.42903,0.14093,2.29557,2.4715,2.54806,0.000892,0.000892,0.000892
94,3654.78,1.80561,1.9477,2.02011,0.75636,0.36243,0.44621,0.15425,2.30298,2.44087,2.55078,0.000793,0.000793,0.000793
95,3691.67,1.79884,1.78368,1.99812,0.73482,0.36243,0.42659,0.15057,2.28763,2.3753,2.51953,0.000694,0.000694,0.000694
96,3728.86,1.83117,1.77181,2.01384,0.72436,0.3752,0.44846,0.15187,2.23143,2.37205,2.4901,0.000595,0.000595,0.000595
97,3765.38,1.74538,1.78939,1.96282,0.62625,0.39815,0.4443,0.15985,2.18869,2.32416,2.46697,0.000496,0.000496,0.000496
98,3801.96,1.80114,1.76894,1.97721,0.61001,0.42196,0.42637,0.16516,2.13461,2.27055,2.39795,0.000397,0.000397,0.000397
99,3838.6,1.79925,1.78986,2.04354,0.59521,0.42196,0.4251,0.16698,2.12237,2.24121,2.37481,0.000298,0.000298,0.000298
100,3875.44,1.76288,1.74743,1.98798,0.58336,0.42196,0.42467,0.16743,2.11245,2.22869,2.37638,0.000199,0.000199,0.000199
